Sample:,%T,%MAIT/T
export_080320_COVID_Ligand_92_94_EV08_09_normalized_C_Live.fcs,51.1,0.54
export_080320_COVID_Ligand_92_94_EV08_09_normalized_D_Live.fcs,30.6,0.7
export_080320_COVID_Ligand_92_94_EV08_09_normalized_E_Live.fcs,40.1,0.98
export_080320_COVID_Ligand_92_94_EV08_09_normalized_F_Live.fcs,39.1,1.61
export_080320_COVID_Ligand_92_94_EV08_09_normalized_Unassigned_Live.fcs,45.2,0.64
export_080320_COVID_Ligand_95_99_EV08_09_normalized_A_Live.fcs,35.7,0.25
export_080320_COVID_Ligand_95_99_EV08_09_normalized_B_Live.fcs,62.7,1.03
export_080320_COVID_Ligand_95_99_EV08_09_normalized_C_Live.fcs,44.7,1.42
export_080320_COVID_Ligand_95_99_EV08_09_normalized_D_Live.fcs,70.1,0.44
export_080320_COVID_Ligand_95_99_EV08_09_normalized_E_Live.fcs,37.4,6.68
export_080320_COVID_Ligand_95_99_EV08_09_normalized_F_Live.fcs,42,1.74
export_080320_COVID_Ligand_95_99_EV08_09_normalized_Unassigned_Live.fcs,49.8,1.93
